dataset,column,count,mean,std,min,25%,50%,75%,max
revocation,DispositionID,16925.0,53.4831905465288,46.365653667056606,4.0,12.0,21.0,102.0,189.0
revocation,DispositionEventID,17016.0,2164.5387282557595,1821.2215818885543,900.0,904.0,905.0,4808.0,4884.0
revocation,DispositionTypeID,17016.0,5.486835919134932,0.6217268684125187,1.0,5.0,6.0,6.0,7.0
revocation,CalendarDaysFilingtoDisposition,17015.0,120.23937702027622,144.700028180659,1.0,35.0,71.0,150.0,1961.0
revocation,TimetoDisposition,17015.0,71.03520423156039,89.88792046609562,1.0,16.0,37.0,92.0,1399.0
revocation,casephaseID,19256.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
revocation,UnabletoCalcAgeInactivity,19256.0,0.0008828417116742833,0.029700304909312466,0.0,0.0,0.0,0.0,1.0
revocation,DispositionMethodID,17016.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
revocation,PartyAttorneyID,19256.0,752606.7818342334,412583.8110510755,905.0,347513.0,854783.0,1126738.5,1291870.0
revocation,PartyIDRepresenting,19256.0,2020880.164312422,1240023.7716838433,1863.0,1045683.75,1248797.5,3488454.75,4115194.0
revocation,attorneyID,19256.0,62421.20440382219,40997.684217610775,47.0,24921.0,66460.0,99716.0,142238.0
revocation,AttorneyCounselTypeID,18768.0,14.580615942028986,7.536084056538604,2.0,10.0,11.0,17.0,36.0
revocation,AttorneyCaseStatusID,19248.0,7.851361180382377,1.2229033117338157,1.0,8.0,8.0,8.0,12.0
revocation,AttorneyStartDate,0.0,,,,,,,
revocation,AttorneyEndDate,0.0,,,,,,,
sentencing_pre2013,CaseID,63120.0,1078618.1097275033,495294.06681915035,336.0,366044.75,1379424.5,1424482.0,1496281.0
sentencing_pre2013,PartyID,63120.0,2718464.3782319394,1082856.302733253,807.0,1194025.75,3377243.5,3467608.5,4124703.0
sentencing_pre2013,CountNumber,63120.0,1.0170468948035487,0.2297471444765931,1.0,1.0,1.0,1.0,14.0
sentencing_pre2013,Sequence,63120.0,1.1422686945500633,0.3649869421941691,1.0,1.0,1.0,1.0,7.0
sentencing_pre2013,SentenceTypeID,63120.0,1.3489385297845373,0.6235759153355692,1.0,1.0,1.0,2.0,3.0
sentencing_pre2013,ReceivableTypeID,63119.0,505.57339311459305,141.6210353777495,190.0,319.0,613.0,613.0,697.0
sentencing_pre2013,AgencyID,63120.0,1178.3654309252217,409.0259390410901,227.0,872.0,1519.0,1519.0,1519.0
sentencing_pre2013,SentenceUOMID,63120.0,2.919169835234474,0.2725762761467092,2.0,3.0,3.0,3.0,3.0
sentencing_pre2013,SentenceQuantity,63120.0,489.42045310519643,6727.030336678882,0.0,15.0,60.0,300.0,364635.0
sentencing_pre2013,SentenceConcurrencyFlag,45369.0,1.2999625294804822,0.4583424557496725,0.0,1.0,1.0,2.0,2.0
sentencing_pre2013,DivisionID,63120.0,1.6982889733840305,0.45900416215979123,1.0,1.0,2.0,2.0,2.0
sentencing_post2013,CaseID,84207.0,1553383.0410417186,557416.6819015571,1026.0,1477052.5,1533712.0,2025047.5,2136447.0
sentencing_post2013,PartyID,84207.0,3340845.164986284,935785.9130412181,1247.0,3567628.5,3682992.0,3842409.5,4126656.0
sentencing_post2013,CountNumber,84207.0,1.0176944909568089,0.32539031806325924,1.0,1.0,1.0,1.0,28.0
sentencing_post2013,Sequence,84207.0,1.1972638854252022,0.45718070661795535,1.0,1.0,1.0,1.0,9.0
sentencing_post2013,SentenceTypeID,84207.0,1.420974503307326,0.6736220406063784,1.0,1.0,1.0,2.0,3.0
sentencing_post2013,ReceivableTypeID,84207.0,500.28399064210817,139.81228549642245,190.0,319.0,593.0,613.0,673.0
sentencing_post2013,AgencyID,84207.0,1161.673685085563,396.2165522150531,3.0,872.0,1084.0,1519.0,1519.0
sentencing_post2013,SentenceUOMID,84207.0,2.894996852993219,0.30655929633284373,2.0,3.0,3.0,3.0,3.0
sentencing_post2013,SentenceQuantity,84207.0,426.7844834752455,4850.601283784396,0.0,16.0,60.0,365.0,367703.0
sentencing_post2013,SentenceConcurrencyFlag,57431.0,1.3181731120823248,0.4658459083102375,0.0,1.0,1.0,2.0,2.0
sentencing_post2013,DivisionID,84207.0,1.7013668697376703,0.457661306143452,1.0,1.0,2.0,2.0,2.0
